glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
ngan1295,134.649,-12.8448,2.75,2.3000000000000003,3.2
ngar1288,129.0308,-21.0231,3.0083333333333333,2.7,3.4
yann1237,134.877,-12.0853,3.158333333333333,2.7,3.7
niue1239,190.14,-19.06,5.641666666666667,5.3,6.3
nort2943,216.23,69.582,3.408333333333333,3,3.9
nort2697,46.4737,40.97768,2.0500000000000003,1.8,2.3000000000000003
nort2671,22.1113,68.725,2.8833333333333333,2.5,3.5
nort2952,239.355,40.4102,3.316666666666667,2.7,4
nort2875,121.454,15.6913,2.1083333333333334,1.8,2.4
nort2810,-8.1409,5.17103,1.9000000000000001,1.1,2.5
nort2646,71.33,34,1.2833333333333334,0.9,1.7
nort2740,100.20739,18.857495,0.8166666666666667,0.5,1.1
tosk1239,20,41,1.925,1.7,2.2
nort2690,69.211,40.886,2.775,2.5,3.2
yaki1237,239.244,46.2655,3.5166666666666666,3.1,4
nort2961,272.2138,51.6192,3.85,3.5,4.5
norw1258,10.71,59.92,3.975,3.4,4.3
nuer1246,32.3829,8.13911,2.091666666666667,1.7,2.8000000000000003
nugu1241,133.908,-31.9899,4.383333333333334,3.4,5.2
nung1283,104.286,20.8965,1.825,1.5,2.1
nupe1254,5.40031,9.18404,1.9333333333333333,1.6,2.4
nuuc1236,233.33,49.67,4.816666666666666,3.8000000000000003,5.4
nyan1308,32.8108,-14.8047,2.0083333333333333,1.4000000000000001,3
nyan1307,30.548,-0.46364,2.0166666666666666,1.8,2.2
nyol1238,33.9181,0.88072,2.466666666666667,2.3000000000000003,2.6
nzim1238,-2.81123,5.1785,1.6,1.4000000000000001,1.9000000000000001
oriy1255,85,21,2.6416666666666666,1.6,4
oksa1245,142.177,-5.20797,2.691666666666667,2.5,2.9
oldb1248,-3.78934,48.2452,4.716666666666667,4.1,5.2
oldc1244,114.32,36.12,2.533333333333333,1.9000000000000001,3.3000000000000003
olde1238,-1.31,51.06,4.166666666666667,3.6,4.7
oldf1239,1.11,48.8,4.158333333333333,3.6,4.7
oldk1249,103.866667,13.4125,1.6500000000000001,1.4000000000000001,1.9000000000000001
oldn1244,10.38,63.42,4.625,3.6,5.7
oldn1245,31.748657,18.760713,3.125,2.7,3.5
olds1249,-3.9,41.5,3.25,2.9,3.6
orok1265,143.12819,49.36393,3.9,3.1,4.5
orok1267,145.34,-7.81309,3.9000000000000004,3.1,4.7
osag1243,263.7051,36.7828,5.008333333333334,4.4,5.9
paok1235,97.5969,20.211,0.9833333333333334,0.7000000000000001,1.4000000000000001
paam1238,168.23693,-16.47548,2.8583333333333334,2.6,3
pait1244,93.6136,24.0381,1.3833333333333333,0.9,2.1
paiw1248,120.806,22.3271,4.183333333333334,3.6,5.1000000000000005
pala1344,134.476678,7.34138,2.325,2.1,2.5
pali1273,82.251,24.5271,1.6583333333333334,0.9,2.9
phal1254,71.8421,35.5096,2.0500000000000003,1.6,2.6
pamp1243,120.502,14.9603,2.408333333333333,1.9000000000000001,2.7
pang1290,120.365,15.9377,2.4250000000000003,1.9000000000000001,2.9
papi1253,290.06012,12.48485,6.075,4.9,6.8
